Month,Sales,Advertising_Spend,Customers,Returns,Average_Order_Value
2024-01,42000,4500,520,32,80.77
2024-02,43500,4600,535,31,81.31
2024-03,44800,4700,548,35,81.75
2024-04,46200,4800,560,34,82.5
2024-05,47500,5000,575,36,82.61
2024-06,48900,5100,590,38,82.88
2024-07,50500,5200,605,37,83.47
2024-08,51800,5400,620,40,83.55
2024-09,53000,5500,635,39,83.46
2024-10,54500,5700,650,42,83.85
2024-11,56000,5800,665,41,84.21
2024-12,57800,6000,680,43,85.0
2025-01,59000,6100,695,44,84.89
2025-02,60500,6300,710,45,85.21
2025-03,62000,6400,725,46,85.52
2025-04,63800,6600,742,47,85.98
2025-05,65000,6800,758,48,85.75
2025-06,66800,7000,775,49,86.19
2025-07,68500,7200,792,50,86.49
2025-08,70200,7400,810,52,86.67
2025-09,72000,7600,828,53,86.96
2025-10,74500,7900,850,55,87.65
2025-11,77000,8200,872,56,88.3
2025-12,80000,8500,900,58,88.89
